"Company Name","phone","website","Normalize a Domain","Normalized Url","address","categoryName","city","state","url","postalCode","totalScore","reviewsCount","Enrich company","Id","Find people at company by job title","First Name - People - Results","Last Name - People - Results","Name - People - Results","Title - People - Results","Street Address - People - Results"
"Deck and Drive Solutions","(515) 480-5593","https://deckanddrivesolutions.com/","deckanddrivesolutions.com","deckanddrivesolutions.com","2200 69th St, Windsor Heights, IA 50324","Deck builder","Windsor Heights","Iowa","https://www.google.com/maps/search/?api=1&query=Deck%20and%20Drive%20Solutions&query_place_id=ChIJMW_pWSOc7ocRjBgPiCVtY0Q",50324,4.9,112,"✅ Deck and Drive Solutions","54a1365469702d407fcc1001","✅ Found 1 person","Aaron","Rouse","Aaron Rouse","Owner",
"Jerry's Homes","(515) 278-5992","https://www.jerryshomes.com/","jerryshomes.com","jerryshomes.com","3900 Westown Pkwy Ste 100, West Des Moines, IA 50266","Home builder","West Des Moines","Iowa","https://www.google.com/maps/search/?api=1&query=Jerry's%20Homes&query_place_id=ChIJJ-QMtUYn7IcRfLIarwIhbyw",50266,4.4,390,"✅ Jerry's Homes","54a1343569702d333df92b00","✅ Found 4 people","Adam","Grubb","Adam Grubb","Owner",
"Allan Custom Homes","(319) 447-6019","https://allancustomhomes.com/","allancustomhomes.com","allancustomhomes.com","222 3rd Ave SW, Cedar Rapids, IA 52404","Custom home builder","Cedar Rapids","Iowa","https://www.google.com/maps/search/?api=1&query=Allan%20Custom%20Homes&query_place_id=ChIJ7UsvY3r35IcRm1yMMKXc750",52404,,,"✅ ALLAN CUSTOM HOMES, INC.","6161e05aeafda00001f7e449","✅ Found 1 person","Andrew","Brundell","Andrew Brundell","Partner/Project Manager",
"Destination Homes Iowa","(515) 209-3881","https://destinationhomesia.com/","destinationhomesia.com","destinationhomesia.com","2540 73rd St, Urbandale, IA 50322","Custom home builder","Urbandale","Iowa","https://www.google.com/maps/search/?api=1&query=Destination%20Homes%20Iowa&query_place_id=ChIJsWFQgIAh7IcRN4MEVsU-v8M",50322,4.9,16,"✅ Destination Homes Iowa","67d9015408663f0001aa3536","✅ Found 2 people","Bailey","Henkenius","Bailey Henkenius","Design Manager",
"Integrity Builders & Supply Inc.","(319) 752-9001","https://www.integritybuildersandsupplyinc.com/","integritybuildersandsupplyinc.com","integritybuildersandsupplyinc.com","814 E Adams St, New London, IA 52645","Construction company","New London","Iowa","https://www.google.com/maps/search/?api=1&query=Integrity%20Builders%20%26%20Supply%20Inc.&query_place_id=ChIJU9Yx0Scy4YcRQ1tjIDmqsOg",52645,4.5,11,"✅ Integrity Builders & Supply Inc.","6049b73b9e2e7500011e36f3","✅ Found 1 person","Beth","Wahe","Beth Wahe","Business Owner",
"Boesen Homes Ltd","(515) 987-6097","http://www.boesenhomes.com/","boesenhomes.com","boesenhomes.com","475 SE Alice's Rd suite d, Waukee, IA 50263","Home builder","Waukee","Iowa","https://www.google.com/maps/search/?api=1&query=Boesen%20Homes%20Ltd&query_place_id=ChIJzeg9II8j7IcRM6MNX8QCk-4",50263,,,"✅ home builder","56d3888bf3e5bb15ec002935","✅ Found 10 people","Bob","Boesen","Bob Boesen","Owner",
"Graber Custom Structures- Iowa","(515) 782-0546","https://grabercustomstructures.com/gcs-in-des-moines-ia/","grabercustomstructures.com","grabercustomstructures.com","5550 Wild Rose Ln #400, West Des Moines, IA 50266","Construction company","West Des Moines","Iowa","https://www.google.com/maps/search/?api=1&query=Graber%20Custom%20Structures-%20Iowa&query_place_id=ChIJ89PhwFkh7IcRCLV6WZXRFr0",50266,5,3,"✅ Graber Custom Structures","69945915222eae00010dc70b","✅ Found 1 person","Brad","Garber","Brad Garber","Sales Manager",
"Cardinal Construction Inc","(319) 232-5400","http://www.cardinalconst.com/","cardinalconst.com","cardinalconst.com","1246 Martin Rd, Waterloo, IA 50701","Construction company","Waterloo","Iowa","https://www.google.com/maps/search/?api=1&query=Cardinal%20Construction%20Inc&query_place_id=ChIJr1Jli_NQ5YcRNMwF1eUrsak",50701,4.2,5,"✅ Cardinal Construction, Inc.","55f40bbbf3e5bb1dd9004edc","✅ Found 9 people","Brandon","Schoborg","Brandon Schoborg","President & CEO",
"Dream Homes Construction & Design","(319) 300-5006","https://dreamhomescd.com/","dreamhomescd.com","dreamhomescd.com","3315 W 1st St Suite A, Cedar Falls, IA 50613","General contractor","Cedar Falls","Iowa","https://www.google.com/maps/search/?api=1&query=Dream%20Homes%20Construction%20%26%20Design&query_place_id=ChIJ9cyt4jtV5YcRcaGJI6MIr_A",50613,5,17,"✅ Dream Homes Construction & Design","6729caa9b1ac5c000118861f","✅ Found 2 people","Brandon","Torres","Brandon Torres","Owner",
"Ball Team Construction","(515) 440-4544","https://buildwithball.com/","buildwithball.com","buildwithball.com","10550 New York Ave # 200, Urbandale, IA 50322","Construction company","Urbandale","Iowa","https://www.google.com/maps/search/?api=1&query=Ball%20Team%20Construction&query_place_id=ChIJd90AarUg7IcRjXveRCprCaA",50322,2.8,6,"✅ Ball Team, LLC","5da4037b473de30001224802","✅ Found 3 people","Brent","Cooper","Brent Cooper","Project Manager",
