Account Name,Account ID,Parent Account, Closed-Won Total ,Billing Street,Billing City,Billing State,Billing ZIP
Newport-Mesa Unified School District,zcrm_1,No Parent Account," $1,110,890.68 ",2985 Bear St,Costa Mesa,CA,92626
Montebello USD,zcrm_2,No Parent Account," $767,599.06 ",123 South Montebello Blvd,Montebello,CA,90640
Palm Tree Elementary,zcrm_3,Palmdale School District," $173,550.00 ",326 E Avenue R,Palmdale,CA,93550
Palmdale High,zcrm_4,Palmdale School District," $50,000.00 ",39000 50th St,Palmdale,CA,93550
New York City Geographic District #10,zcrm_5,No Parent Account," $633,791.00 ",1 Fordham Plaza,BRONX,NY,10458
Delano Union Elementary School District,zcrm_6,No Parent Account," $393,391.10 ",1405 12th Ave,Delano,CA,93215
Heartland Charter School,zcrm_7,Heartland Charter District," $423,251.00 ",5060 California Avenue,Bakersfield,CA,93309
JP TEST ACCOUNT,zcrm_8,No Parent Account,$1.00,2000 Regency,Cary,NC,27703
Chandler Unified District #80 (4242),zcrm_9,No Parent Account," $277,080.60 ",1525 W FRYE RD,CHANDLER,AZ,85224
Fayette County KY,zcrm_10,No Parent Account," $264,220.92 ",450 Park Place,Lexington,KY,40511
